# Fiwo Derived Dictionary — 1727 entries
# GENERATED from Canon/derived_lexicon.json by Tools/build.py — do not edit by hand
#
# One entry per line, pipe-delimited, grouped by part of speech:
#   word | root + derivation | English key | definition
#
# The English in column 3 is a LOOKUP KEY, not a translation. Fiwo roots do not map
# one-to-one onto English words — the definition in column 4 is the actual meaning, and it is often
# narrower, wider, or differently cut than the English key suggests.
# Read the definition before using a word. If no definition covers the concept you
# want, say so and build a Rule 36 compound; never stretch a key to fit.

=== Biological Noun — 299 entries ===
abecoa | abeco o→a | Pilot | A person who flies a plane; a pilot. [Concrete Noun -> Biological Noun (handler)] Senses: 1) pilot
skagia | skagi i→a | Breaker | A person who breaks; a breaker. [Verb -> Biological Noun (doer)] Senses: 1) breaker
skaxebia | skaxebi i→a | Suspecter | A person who suspects; a suspecter. [Verb -> Biological Noun (doer)] Senses: 1) suspecter
skiwia | skiwi i→a | Controller | A person who controls; a controller. [Verb -> Biological Noun (doer)] Senses: 1) controller
skumkia | skumki i→a | Destroyer | A person who destroys; a destroyer. [Verb -> Biological Noun (doer)] Senses: 1) destroyer
smimia | smimi i→a | Kisser | A person who kisses; a kisser. [Verb -> Biological Noun (doer)] Senses: 1) kisser
smotifia | smotifi i→a | Restorer | A person who restores; a restorer. [Verb -> Biological Noun (doer)] Senses: 1) restorer
solfia | solfi i→a | Solver | A person who solves; a solver. [Verb -> Biological Noun (doer)] Senses: 1) solver
splyxia | splyxi i→a | Chopper | A person who chops; a chopper. [Verb -> Biological Noun (doer)] Senses: 1) chopper
stelia | steli i→a | Taker | A person who takes; a taker. [Verb -> Biological Noun (doer)] Senses: 1) taker
stomia | stomi i→a | Donor | A person who gives; a donor. [Verb -> Biological Noun (doer)] Senses: 1) donor
stricia | strici i→a | Translator | A person who translates; a translator. [Verb -> Biological Noun (doer)] Senses: 1) translator
sudia | sudi i→a | Pusher | A person who pushes; a pusher. [Verb -> Biological Noun (doer)] Senses: 1) pusher
sufia | sufi i→a | Turner | A person who turns; a turner. [Verb -> Biological Noun (doer)] Senses: 1) turner
swamia | swami i→a | Placer | A person who puts; a placer. [Verb -> Biological Noun (doer)] Senses: 1) placer
sydoa | sydo o→a | Resident | A person who lives in or occupies a house. [Concrete Noun -> Biological Noun (handler)] Senses: 1) resident; 2) occupant; 3) householder
tandorsoa | tandorso o→a | Mariner | A person who works on the open ocean; a seafarer. [Concrete Noun -> Biological Noun (handler)] Senses: 1) mariner; 2) seafarer; 3) sailor
tazia | tazi i→a | Lover | A person who loves; a lover. [Verb -> Biological Noun (doer)] Senses: 1) lover
tehidia | tehidi i→a | Student | A person who studies; a student. [Verb -> Biological Noun (doer)] Senses: 1) student
todyria | todyri i→a | Lifter | A person who raises; a lifter. [Verb -> Biological Noun (doer)] Senses: 1) lifter
toilia | toili i→a | Lender | A person who lends; a lender. [Verb -> Biological Noun (doer)] Senses: 1) lender
tovnia | tovni i→a | Founder | A person who establishes; a founder. [Verb -> Biological Noun (doer)] Senses: 1) founder
toxua | toxu u→a | Psychologist | A person who practices psychology; a psychologist. [Abstract Noun -> Biological Noun (practitioner)] Senses: 1) psychologist
tsia | tsi i→a | Leaver | A person who leaves; a leaver. [Verb -> Biological Noun (doer)] Senses: 1) leaver
tsytia | tsyti i→a | Seeker | A person who searches; a seeker. [Verb -> Biological Noun (doer)] Senses: 1) seeker
ufdia | ufdi i→a | Shaker | A person who shakes; a shaker. [Verb -> Biological Noun (doer)] Senses: 1) shaker
ukwia | ukwi i→a | Judge | A person who judges; a judge. [Verb -> Biological Noun (doer)] Senses: 1) judge
umetia | umeti i→a | Proposer | A person who suggests; a proposer. [Verb -> Biological Noun (doer)] Senses: 1) proposer
umzia | umzi i→a | Greeter | A person who welcomes; a greeter. [Verb -> Biological Noun (doer)] Senses: 1) greeter
upvia | upvi i→a | Stretcher | A person who stretches; a stretcher. [Verb -> Biological Noun (doer)] Senses: 1) stretcher
upycia | upyci i→a | Viewer | A person who looks; a viewer. [Verb -> Biological Noun (doer)] Senses: 1) viewer
uropia | uropi i→a | Singer | One who sings. [Verb -> Biological Agent] Senses: 1) singer; 2) vocalist
usia | usi i→a | Sleeper | A person who sleeps; a sleeper. [Verb -> Biological Noun (doer)] Senses: 1) sleeper
uzkia | uzki i→a | Hunter | A person who hunts; a hunter. [Verb -> Biological Noun (doer)] Senses: 1) hunter
vahimia | vahimi i→a | Handler | A person who handles; a handler. [Verb -> Biological Noun (doer)] Senses: 1) handler
viancia | vianci i→a | Daredevil | A person who dares; a daredevil. [Verb -> Biological Noun (doer)] Senses: 1) daredevil
vicea | vice e→a | Hero | A person embodying bravery. [Modifier -> Biological Noun (person embodying trait)] Senses: 1) hero; 2) brave one; 3) champion
vifia | vifi i→a | Boiler | A person who boils; a boiler. [Verb -> Biological Noun (doer)] Senses: 1) boiler
vispoa | vispo o→a | Postal worker | A person who carries and delivers letters; a postal worker. [Concrete Noun -> Biological Noun (handler)] Senses: 1) postal worker; 2) mail carrier
vyzia | vyzi i→a | Escapee | A person who escapes; an escapee. [Verb -> Biological Noun (doer)] Senses: 1) escapee
wafria | wafri i→a | Loser | A person who loses; a loser. [Verb -> Biological Noun (doer)] Senses: 1) loser
waskea | waske e→a | Elder | An older, respected person; an elder. [Modifier -> Biological Noun (characterized person)] Senses: 1) elder; 2) old person
wastia | wasti i→a | Waiter | A person who waits; a waiter. [Verb -> Biological Noun (doer)] Senses: 1) waiter
waxia | waxi i→a | Exerciser | A person who exercises; an exerciser. [Verb -> Biological Noun (doer)] Senses: 1) exerciser
welia | weli i→a | Interrupter | A person who interrupts; an interrupter. [Verb -> Biological Noun (doer)] Senses: 1) interrupter
wembizia | wembizi i→a | Donor | A person who gives money or goods to a cause. [Verb -> Biological Noun (doer)] Senses: 1) donor
wikia | wiki i→a | Squeezer | A person who squeezes; a squeezer. [Verb -> Biological Noun (doer)] Senses: 1) squeezer
wogia | wogi i→a | Hoper | A person who hopes; a hoper. [Verb -> Biological Noun (doer)] Senses: 1) hoper
wotipia | wotipi i→a | Deleter | A person who deletes; a deleter. [Verb -> Biological Noun (doer)] Senses: 1) deleter
wubia | wubi i→a | Bender | A person who bends; a bender. [Verb -> Biological Noun (doer)] Senses: 1) bender
wujoa | wujo o→a | Cartographer | A person who makes maps; a cartographer. [Concrete Noun -> Biological Noun (handler)] Senses: 1) cartographer; 2) mapmaker
xadoroa | xadoro o→a | Ferryman | A person who works on a river; a ferryman or river warden. [Concrete Noun -> Biological Noun (handler)] Senses: 1) ferryman; 2) river warden
xalia | xali i→a | Mover | A person who moves; a mover. [Verb -> Biological Noun (doer)] Senses: 1) mover
xedoa | xedo o→a | Smith | A person who works metal; a smith, metalworker. [Concrete Noun -> Biological Noun (handler)] Senses: 1) smith; 2) metalworker; 3) blacksmith
xekua | xeku u→a | Citizen | A person belonging to a nation; a citizen, national. [Abstract Noun -> Biological Noun (practitioner)] Senses: 1) citizen; 2) national
xempia | xempi i→a | Practitioner | A person who practices; a practitioner. [Verb -> Biological Noun (doer)] Senses: 1) practitioner
xeria | xeri i→a | Thrower | A person who throws; a thrower. [Verb -> Biological Noun (doer)] Senses: 1) thrower
xeskia | xeski i→a | Winner | A person who wins; a winner. [Verb -> Biological Noun (doer)] Senses: 1) winner
xibia | xibi i→a | Promiser | A person who promises; a promiser. [Verb -> Biological Noun (doer)] Senses: 1) promiser
xitrikia | xitriki i→a | Teleporter | A person who teleports; a teleporter. [Verb -> Biological Noun (doer)] Senses: 1) teleporter
xixua | xixu u→a | Comedian | A person who makes humor; a comedian. [Abstract Noun -> Biological Noun (practitioner)] Senses: 1) comedian
xogria | xogri i→a | Visitor | A person who visits; a visitor. [Verb -> Biological Noun (doer)] Senses: 1) visitor
xosia | xosi i→a | Opener | A person who opens; an opener. [Verb -> Biological Noun (doer)] Senses: 1) opener
xowua | xowu u→a | Performer / Actor | A person who performs for an audience; a performer, actor. [Abstract Noun -> Biological Noun (practitioner)] Senses: 1) performer; 2) actor
xunia | xuni i→a | Burner | A person who burns; a burner. [Verb -> Biological Noun (doer)] Senses: 1) burner
xwewia | xwewi i→a | Pardoner | A person who excuses; a pardoner. [Verb -> Biological Noun (doer)] Senses: 1) pardoner
xyfia | xyfi i→a | Doer | A person who does; a doer. [Verb -> Biological Noun (doer)] Senses: 1) doer
xyroa | xyro o→a | Shopkeeper | A person who runs or works in a shop; a shopkeeper, vendor. [Concrete Noun -> Biological Noun (handler)] Senses: 1) shopkeeper; 2) vendor
ywurdua | ywurdu u→a | Criminal | A person who commits crimes; a criminal. [Abstract Noun -> Biological Noun (practitioner)] Senses: 1) criminal; 2) offender
zalmua | zalmu u→a | Politician | A person engaged in politics; a politician. [Abstract Noun -> Biological Noun (practitioner)] Senses: 1) politician
zankia | zanki i→a | Hider | A person who hides; a hider. [Verb -> Biological Noun (doer)] Senses: 1) hider
zemia | zemi i→a | Coverer | A person who covers; a coverer. [Verb -> Biological Noun (doer)] Senses: 1) coverer
zikuzoa | zikuzo o→a | Banker | A person who works at a bank; a banker. [Concrete Noun -> Biological Noun (handler)] Senses: 1) banker
zitsugua | zitsugu u→a | Councilor | A member of a council. [Abstract Noun -> Biological Noun (practitioner)] Senses: 1) councilor; 2) council member
zonitia | zoniti i→a | Peeler | A person who strips; a peeler. [Verb -> Biological Noun (doer)] Senses: 1) peeler
zopia | zopi i→a | Jumper | A person who jumps; a jumper. [Verb -> Biological Noun (doer)] Senses: 1) jumper
zusabrua | zusabru u→a | Surgeon | A doctor who performs surgery. [Abstract Noun -> Biological Noun (practitioner)] Senses: 1) surgeon
zylia | zyli i→a | User | A person who uses; an user. [Verb -> Biological Noun (doer)] Senses: 1) user

=== Concrete Noun — 53 entries ===
akdio | akdi i→o | Shrieker | An instrument for, or physical result of, 'shout'. [Verb -> Concrete Noun (instrument/result)] Senses: 1) shrieker; 2) siren; 3) alarm device
arsumpio | arsumpi i→o | A flow | An instrument for, or physical result of, 'flow'. [Verb -> Concrete Noun (instrument/result)] Senses: 1) a flow; 2) swirl; 3) streaming movement
baxyo | baxy y→o | Back (part) | The rear part of something; the back. [Preposition -> Concrete Noun (relation object)] Senses: 1) back; 2) rear
bipeo | bip →e→o | The original / The first one | The first or original one; the prototype. [Particle -> Modifier -> Concrete Noun] Senses: 1) the original; 2) the first one; 3) prototype
cosao | cosa a→o | Leather | Material made from animal skin; leather, hide. [Biological Noun -> Concrete Noun (artifact)] Senses: 1) leather; 2) hide
cotio | coti i→o | A cut | An instrument for, or physical result of, 'cut'. [Verb -> Concrete Noun (instrument/result)] Senses: 1) a cut; 2) division; 3) split
danguo | dangu u→o | a vacation place | A vacation place; a resort or holiday destination. [Abstract Noun -> Concrete Noun (embodiment)] Senses: 1) a vacation place
dekyo | deky y→o | Interior | The inner part or interior of something. [Preposition -> Concrete Noun (relation object)] Senses: 1) interior
drulsio | drulsi i→o | Lever | An instrument for, or physical result of, 'switch'. [Verb -> Concrete Noun (instrument/result)] Senses: 1) lever; 2) switch handle; 3) control device
duxilio | duxili i→o | An attack | An act of attacking; an assault or offensive. [Verb -> Concrete Noun (instrument/result)] Senses: 1) an attack; 2) an assault
falmio | falmi i→o | Report | A written or spoken account; a report. [Verb -> Concrete Noun (instrument/result)] Senses: 1) report; 2) account
fehedio | fehedi i→o | divorce document | A concrete object or document of divorce, such as divorce papers. [Verb -> Concrete Noun (instrument/result)] Senses: 1) divorce document
fewio | fewi i→o | Mixture | The result of mixing; a mixture, blend. [Verb -> Concrete Noun (instrument/result)] Senses: 1) mixture; 2) blend
fijao | fija a→o | Earring / Headphone | An object worn on the ear; an earring or headphone. [Biological Noun -> Concrete Noun (artifact)] Senses: 1) earring; 2) headphone
foxiprio | foxipri i→o | A fade | An instrument for, or physical result of, 'fade'. [Verb -> Concrete Noun (instrument/result)] Senses: 1) a fade; 2) gradient; 3) color transition
fuluo | fulu u→o | File | A tangible record or file of data. [Abstract Noun -> Concrete Noun (embodiment)] Senses: 1) file; 2) dataset
furnao | furna a→o | Pelt | An animal's fur used as material; a pelt, fur. [Biological Noun -> Concrete Noun (artifact)] Senses: 1) pelt; 2) fur
gario | gari i→o | Toy | An object used for playing. [Verb -> Concrete Noun (instrument-object)] Senses: 1) toy; 2) plaything; 3) game piece
gidafio | gidafi i→o | Sale | The act or instance of selling; a sale. [Verb -> Concrete Noun (instrument/result)] Senses: 1) sale
glozitio | gloziti i→o | Shot | A single act of firing, or a projectile fired. [Verb -> Concrete Noun (instrument/result)] Senses: 1) shot; 2) gunshot
guamio | guami i→o | Calculator | A device or means for calculating; a calculator. [Verb -> Concrete Noun (instrument/result)] Senses: 1) calculator
gypuo | gypu u→o | Website | A site or set of pages on the internet; a website. [Abstract Noun -> Concrete Noun (embodiment)] Senses: 1) website; 2) web site; 3) web page
hekrio | hekri i→o | a worn item | A worn item; a garment or article of clothing being worn. [Verb -> Concrete Noun (instrument/result)] Senses: 1) a worn item
horbao | horba a→o | Horn (object) | A horn used as a tool, container, or instrument. [Biological Noun -> Concrete Noun (artifact)] Senses: 1) horn
izlio | izli i→o | Invitation | A spoken or written request to attend; an invitation. [Verb -> Concrete Noun (instrument/result)] Senses: 1) invitation
jahizio | jahizi i→o | marriage token | A concrete object or token of marriage, such as a wedding ring or marriage certificate. [Verb -> Concrete Noun (instrument/result)] Senses: 1) marriage token
jamio | jami i→o | Document | A written document, text, or piece of writing. [Verb -> Concrete Noun (instrument/result)] Senses: 1) document; 2) text; 3) writing
kehuluo | kehulu u→o | household | A concrete embodiment of a family, such as a household or family estate. [Abstract Noun -> Concrete Noun (embodiment)] Senses: 1) household
kekusnio | kekusni i→o | Copy | A duplicate of something; a copy. [Verb -> Concrete Noun (instrument/result)] Senses: 1) copy; 2) duplicate
krembao | kremba a→o | a physical object for a pet | A physical object for a pet; a pet supply or accessory. [Biological Noun -> Concrete Noun (artifact)] Senses: 1) a physical object for a pet
kufuglio | kufugli i→o | A journey | An instance of travel; a trip or voyage. [Verb -> Concrete Noun (instrument/result)] Senses: 1) a journey; 2) a trip
kyranao | kyrana a→o | Quill / Plume | A large feather used as an object; a quill or plume. [Biological Noun -> Concrete Noun (artifact)] Senses: 1) quill; 2) plume
mekao | meka a→o | Bone (material) | Bone worked into a tool or object. [Biological Noun -> Concrete Noun (artifact)] Senses: 1) bone tool
merifuo | merifu u→o | Souvenir / Keepsake | An object kept as a reminder of a person, place, or event; a souvenir, memento. [Abstract Noun -> Concrete Noun (embodiment)] Senses: 1) souvenir; 2) memento; 3) keepsake
mosao | mosa a→o | Lumber | Wood harvested from a tree for building; lumber, timber. [Biological Noun -> Concrete Noun (artifact)] Senses: 1) lumber; 2) timber
nizyo | nizy y→o | Front (part) | The forward-facing part of something; the front. [Preposition -> Concrete Noun (relation object)] Senses: 1) front; 2) face
